graph_name,seed,area_constraint,hw_scale_factor,hw_scale_variance,comm_scale_factor,method,optimization_time_sec,postprocess_time_sec,total_runtime_sec,key,family,nodes,edges
paper_fig3_11node,42,0.5,1.0,0.1,1.0,diff_gnn_order,6.803267935989425,0.4028154478874057,7.20608338387683,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,gl25,0.5352984461933374,0.0004455228336155,0.535743969026953,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,gcps,0.2375342629384249,0.0004603711422532,0.2379946340806782,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,esa,0.2025969089008867,0.0004174001514911,0.2030143090523779,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,pso,0.4118491301778704,0.0004575347993522,0.4123066649772227,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,dbpso,0.5492942971177399,0.0004184520803391,0.5497127491980791,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,clpso,0.0282742271665483,0.0004182618577033,0.0286924890242517,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,ccpso,0.0314323320053517,0.0004160369280725,0.0318483689334243,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,shade,0.6344564300961792,0.0004348231013864,0.6348912531975657,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,jade,0.6001499199774116,0.0004101460799574,0.6005600660573691,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,random,0.0785817129071801,0.0004207061138004,0.0790024190209806,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
paper_fig3_11node,42,0.5,1.0,0.1,1.0,greedy,0.0015742289833724,0.0004461139906197,0.0020203429739922,"('paper_fig3_11node', 42, 0.5, 1.0, 0.1, 1.0)",custom,11,12
